"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"1","Basidia 4-spored, at times 3-spored or 2-spored, measuring 19-34 (-40) x 6-10 µm, clavate or slightly truncate at the apex, with sterigmata up to 4 µm long.","Basidia 4-spored, at times 3-spored or 2-spored, measuring 19-34 (-40) x 6-10 µm, clavate or slightly truncate at the apex, with sterigmata up to 4 µm long.","Basidia 4-spored, at times 3-spored or 2-spored, measuring 19-34 (-40) x 6-10 µm, clavate or slightly truncate at the apex, with sterigmata up to 4 µm long.","apex",,"apex","basidium","apex","basidium","Y","Y",""
"2","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","apex",,"apex","pileipellis","apex","pileipellis","Y","Y",""
"3","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","Pileipellis constituted by cylindrical hyphae, 5-16 µm wide, the wider the more constricted at septa, with terminal elements very long (on average measuring 120-160 x 6-9 µm) and with apex either rounded or progressively tapered.","element","terminal","element","pileipellis terminal","element","pileipellis terminal","Y","Y",""
"4","sepals prominently 3-veined, ovate to lanceolate (herbaceous portion oblong to narrowly ovate), 2.5–3.2 mm, not enlarging in fruit, apex green to purple, acute to acuminate, not hooded, stipitate-glandular;","sepals prominently 3-veined, ovate to lanceolate (herbaceous portion oblong to narrowly ovate), 2.5–3.2 mm, not enlarging in fruit, apex green to purple, acute to acuminate, not hooded, stipitate-glandular;","sepals prominently 3-veined, ovate to lanceolate (herbaceous portion oblong to narrowly ovate), 2.5–3.2 mm, not enlarging in fruit, apex green to purple, acute to acuminate, not hooded, stipitate-glandular;","apex",,"apex","sepal","apex","sepal","Y","Y",""
"5","petals elliptic, 0.8–1.3 times as long as sepals, apex rounded, entire.","petals elliptic, 0.8–1.3 times as long as sepals, apex rounded, entire.","petals elliptic, 0.8–1.3 times as long as sepals, apex rounded, entire.","apex",,"apex","sepal","apex","petal","Y","N",""
"6","Myxillidae with smooth tornotes with hastate/mucronate apices and an isotropic reticulation of thick acanthostrongyles, echinated by thick acanthostyles;","Myxillidae with smooth tornotes with hastate/mucronate apices and an isotropic reticulation of thick acanthostrongyles, echinated by thick acanthostyles;","Myxillidae with smooth tornotes with hastate/mucronate apices and an isotropic reticulation of thick acanthostrongyles, echinated by thick acanthostyles;","apex",,"apex","tornote","apex","tornote","Y","Y",""
"7","f/p=0.5-0.8;","f/p=0.5-0.8;","f/p=0.5-0.8;","apex","procoxal","apex","procoxal","apex","procoxal","N","Y",""
"8","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","appendix",,"appendix","hilar","appendix","hilar","Y","Y",""
"9","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","Microscopic description: Spores 5.5-7-7.5 x 4-5.2-5.8 μm, av. 6.3 x 4.65 μm, Q=1.15-1.56, av. 1.35, broadly ellipsoid to ellipsoid, light-brown in water, with prominent, hyaline hilar appendix, lacking a germ pore, mono or multiguttulate.","pore","germ","pore","spore germ","pore","germ","Y","N",""
"10","Diagnosis: (1) protibia posteriorly with row of 6 - 10 long, broad, triangular spines, extending along entire length of projected margin;","Diagnosis: (1) protibia posteriorly with row of 6 - 10 long, broad, triangular spines, extending along entire length of projected margin;","Diagnosis: (1) protibia posteriorly with row of 6 - 10 long, broad, triangular spines, extending along entire length of projected margin;","margin","projected","margin","protibia projected","margin","protibia projected","Y","Y",""
"11","(3) Female with spermatheca basally with elongate, triangular, acute appendix.","(3) Female with spermatheca basally with elongate, triangular, acute appendix.","(3) Female with spermatheca basally with elongate, triangular, acute appendix.","appendix",,"appendix","spermathecum","appendix","spermathecum","Y","Y",""
"12","Hypostomal and lower genal areas of male, at least in ventral view, slightly concave to deeply excavated;","Hypostomal and lower genal areas of male, at least in ventral view, slightly concave to deeply excavated;","Hypostomal and lower genal areas of male, at least in ventral view, slightly concave to deeply excavated;","area","hypostomal and lower genal","area","hypostomal and lower genal","area","hypostomal and lower genal","N","Y",""
"13","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","area",,"area","flagellar segment","area","flagellar segment","Y","Y",""
"14","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","first flagellar segment of male broader than long, following segments often convex ventrally and thus moniliform and each with glabrous, shiny area or band mesally.","band",,"band","flagellar segment","band","flagellar segment","Y","Y",""
"15","T6 not emarginate medially and/or T6 medially with parallel-sided longitudinal crest.","T6 not emarginate medially and/or T6 medially with parallel-sided longitudinal crest.","T6 not emarginate medially and/or T6 medially with parallel-sided longitudinal crest.","area","interantennal","area","interantennal","area","interantennal","N","Y",""
"16","Sides of head between frontal carinae and eye rugose, with granular ground sculpture between the rugae and with a few cross meshes above and in front of the eye.","Sides of head between frontal carinae and eye rugose, with granular ground sculpture between the rugae and with a few cross meshes above and in front of the eye.","Sides of head between frontal carinae and eye rugose, with granular ground sculpture between the rugae and with a few cross meshes above and in front of the eye.","side",,"side","head","side","head","Y","Y",""
"17","Sides of head below and behind eye strongly sulcate.","Sides of head below and behind eye strongly sulcate.","Sides of head below and behind eye strongly sulcate.","side",,"side","head","side","head","Y","Y",""
"18","Sides of pronotum strongly sulcate, the sulci inclined slightly backwards from the vertical.","Sides of pronotum strongly sulcate, the sulci inclined slightly backwards from the vertical.","Sides of pronotum strongly sulcate, the sulci inclined slightly backwards from the vertical.","side",,"side","pronotum","side","pronotum","Y","Y",""
"19","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","side",,"side","alitrunk","side","alitrunk","Y","Y",""
"20","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","area",,"area","alitrunk","area","alitrunk","Y","Y",""
"21","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","Remainder of sides of alitrunk longitudinally rugose except in the area below the propodeal margin where the rugae irregular.","margin","propodeal","margin","propodeal","margin","propodeal","N","Y",""
"22","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","centre",,"centre","pileus","centre","pileus","Y","Y",""
"23","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","Pileus 6-15-18 cm in diameter, at first globose, then hemispherical or hemispherical with truncate margin, finally planoconvex with slightly depressed centre, white, greyish-white, ochraceous to more or less dark-brown, often broken up into appressed scales on a white background, excepted for a white marginal area.","margin",,"margin","pileus","margin","pileus","Y","Y",""
