"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"1","Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","section",,"Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","section","leaf","Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","section","leaf","Y","Y",""
"2","Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","base",,"Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","base","median leaflet","Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","base","median leaflet","Y","Y",""
"3","margins slightly recurved;","margin",,"margins slightly recurved;","margin","median leaflet","margins slightly recurved;","margin","median leaflet","Y","Y",""
"4","apex acute, not spinescent;","apex",,"apex acute, not spinescent;","apex","median leaflet","apex acute, not spinescent;","apex","median leaflet","Y","Y",""
"5","Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","apex",,"Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","apex","basidium","Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","apex","basidium","Y","Y",""
"6","Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","apex",,"Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","apex","phyllary","Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","apex","phyllary","Y","Y",""
"7","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex",,"the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex","mandible","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex","mandible","Y","Y",""
"8","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","base",,"Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","base","pileus","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","base","stem","Y","N",""
"9","Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","apex",,"Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","apex","microsporophyll","Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","apex","microsporophyll","Y","Y",""
"10","Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","base",,"Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","base","median leaflet","Median leaflets simple, weakly discolorous, 140-230 mm long, 4.5-6.5 mm wide, inserted at 40-60 degrees to rachis, decurrent for 2-4 mm, narrowed to 3-5 mm at base (to 70-80% of maximum width), 6-9 mm apart on rachis;","base","median leaflet","Y","Y",""
