"items","intext","outtext","goldtext","inname","inconstraint","outname","outconstraint","goldname","goldconstraint","changed","correct","entity_name matched"
"1","Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","Leaves deep green, highly glossy, 160 cm long, flat (not keeled) in section (opposing leaflets inserted at 180 degrees on rachis), with 130-140 leaflets, with white and orange tomentum shedding as leaf expands;","section",,"section","leaf","section","leaf","Y","Y",""
"2","Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","Median leaflets simple, strongly discolorous, 260 mm long, 16.5 mm wide, inserted at 80 degrees to rachis, decurrent for 9 mm, narrowed to 5.5 mm at base (to 30-35% of maximum width), 18.5 mm apart on rachis;","base",,"base","median leaflet","base","median leaflet","Y","Y",""
"3","median leaflets section flat;","median leaflets section flat;","median leaflets section flat;","section","leaflet","section","leaflet","section","leaflet","N","Y",""
"4","margins slightly recurved;","margins slightly recurved;","margins slightly recurved;","margin",,"margin","median leaflet","margin","median leaflet","Y","Y",""
"5","apex acute, not spinescent;","apex acute, not spinescent;","apex acute, not spinescent;","apex",,"apex","median leaflet","apex","median leaflet","Y","Y",""
"6","Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","Basidia 22-25 x 7-8 µm, bisporic, at times monosporic (the latter in large numbers in LAPAG 31A), more rarely trisporic, exceptionally tetrasporic, clavate or slightly truncate at the apex, sterigmata up to 4 µm long.","apex",,"apex","basidium","apex","basidium","Y","Y",""
"7","Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","Phyllaries 1.5–5.2 × 0.8–1.2 mm, midveins enlarged near apex, resin-gland and surrounding tissue evident as green to brown patches.","apex",,"apex","phyllary","apex","phyllary","Y","Y",""
"8","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","the mandibles punctured and grooved at their apex, furnished with fine stout teeth;","apex",,"apex","mandible","apex","mandible","Y","Y",""
"9","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","apex","stem","apex","stem","apex","stem","N","Y",""
"10","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","Flesh thick in cap, firm, white, becoming faintly pinkish, mainly above gills and at stem apex, slightly yellow discolouring at base;","base",,"base","stem","base","stem","Y","Y",""
"11","Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","Microsporophylls: spirally orthostichous, aggregated into male-cones and each with a simple, peltate sterile apex, which not produced into a terminal spine.","apex",,"apex","microsporophyll","apex","microsporophyll","Y","Y",""
